Long,Lat,Depth,T,Sal,CDOM,Turb,TA,O2,pH,pCO2 ,Ar ,SPM,POC,DIC,nDIC,AOU,Temp K,CO2_Gas_conc_?mol_L
187.511,67.418,16,6.22,32.46,,,2326.0,334.24,8.17,199.00,2.86,,,2046.00,2206.10,-29.86,279.37,8.676
187.511,67.418,25,3.19,32.89,,,2345.0,284.34,7.85,412.00,1.51,,,2212.00,2353.91,41.86,276.34,18.160
187.511,67.418,44,2.02,33.02,,,2358.0,181.64,7.43,1173.00,0.59,3.85,,2365.00,2506.81,153.85,275.17,51.922
185.496,67.485,2,6.15,28.16,,,2032.0,320.82,8.04,259.00,1.77,0.62,,1864.00,2316.76,-6.10,279.30,11.295
185.496,67.485,5,6.15,28.15,,,2030.0,321.42,8.04,261.00,1.77,,,1863.00,2316.34,-6.67,279.30,11.382
185.496,67.485,10,6.14,28.15,,,2030.0,321.67,8.04,260.00,1.77,,,1863.00,2316.34,-6.85,279.29,11.339
185.496,67.485,15,6.16,28.16,,,2032.0,320.92,8.04,261.00,1.77,,,1865.00,2318.00,-6.27,279.31,11.382
185.496,67.485,19,5.05,29.42,,,2074.0,310.09,7.97,297.00,1.61,0.65,,1923.00,2287.73,9.95,278.20,13.003
190.508,67.584,5,3.80,32.77,,,2349.0,444.69,8.24,144.00,1.00,0.46,,2284.00,2439.43,-123.03,276.95,6.333
190.508,67.584,12,3.38,32.77,,,2351.0,442.34,8.24,142.00,3.28,,,2024.00,2161.73,-117.37,276.53,6.255
190.508,67.584,15,3.21,32.77,,,2351.0,442.96,8.23,148.00,3.28,,,2024.00,2161.73,-116.63,276.36,6.523
190.508,67.584,24,2.11,32.84,,,2348.0,370.86,8.03,240.00,3.16,,,2032.00,2165.65,-35.67,275.26,10.620
190.508,67.584,27,2.05,32.84,,,2343.0,287.97,7.74,521.00,2.19,,,2131.00,2271.16,47.73,275.20,23.059
190.508,67.584,45,1.94,32.86,,,2344.0,253.04,7.66,640.00,1.18,1.17,,2252.00,2398.66,83.54,275.09,28.338
188.73,67.70,0,2.85,28.66,,,,343.90,8.32,198.19,1.49,0.71,,1525.28,1862.69,-4.21,276.00,8.746
188.73,67.70,13,3.23,32.40,,,,389.00,8.26,257.49,1.71,,,1774.29,1916.67,-61.91,276.38,11.348
